tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo;puntos;term;rec;ron;multi
9902;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4645;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9903;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4646;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9904;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4647;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9905;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4648;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9906;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4650;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9907;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4651;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9908;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4652;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9909;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4653;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9910;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;5704;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9911;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4654;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9912;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4656;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9913;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4657;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9914;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4658;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9915;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4659;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9916;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4660;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9917;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4661;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9918;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4662;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9919;05/01/2021;31/01/2021;51008;0;0;3992;55000;;;due;4663;8;0;2;yes;0;%;Monterrey;television;3Megas;0;0;no;Activo;0
9920;05/01/2021;31/01/2021;61008;0;0;3992;65000;;;due;4664;8;0;2;yes;0;%;Monterrey;television;5Megas;0;0;no;Activo;0
9921;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4665;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
9922;05/01/2021;31/01/2021;21008;0;0;3992;25000;;;due;4666;8;0;1;yes;0;%;Monterrey;television;no;0;0;no;Activo;0
